Comune,Provincia,Regione,Nome,Tipo,Anno inserimento,Identificatore in OpenStreetMap,Longitudine,Latitudine
Bressanvido,VICENZA,Veneto,Monumento ai Caduti,Monumento,2012,1854354431,11.6326911,45.6458609
Bricherasio,TORINO,Piemonte,Filippo Brignone,Monumento,2012,1639691375,7.3031294,44.8258212
Bricherasio,TORINO,Piemonte,Eccidio Cascina Badariotti,"Monumento commemorativo, sacrario",2012,2088961040,7.2806673,44.8194151
Bricherasio,TORINO,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2241880274,7.3074216,44.8282760999999
Briga Alta,CUNEO,Piemonte,Croce Pastorelli,"Monumento commemorativo, sacrario",2015,3309940061,7.7410583,44.1628058
Briga Novarese,NOVARA,Piemonte,San Grato,Monumento,2013,1743989904,8.4563932,45.7358256999999
Brindisi,BRINDISI,Puglia,Bersaglieri,"Monumento commemorativo, sacrario",2014,3201601700,17.9451682,40.6379439
Brindisi,BRINDISI,Puglia,Cesare Augusto,"Monumento commemorativo, sacrario",2014,392267656,17.945817,40.6367605
Brindisi,BRINDISI,Puglia,Monumento Aldo Moro,"Monumento commemorativo, sacrario",2014,2714733717,17.9266776,40.6405132
Brindisi,BRINDISI,Puglia,Virgilio,"Monumento commemorativo, sacrario",2014,2717992259,17.9480241,40.6397581
Brinzio,VARESE,Lombardia,Croce delle Missioni Passioniste,Monumento,2014,2429902896,8.7870488,45.8878825
Bronte,CATANIA,Sicilia,Obelisco di Nelson,Monumento,2014,2027866804,14.8117698,37.9237028
Brugherio,MONZA E DELLA BRIANZA,Lombardia,Monumento ai Caduti,Monumento,2016,3430208181,9.29818019999999,45.5533964999999
Brugherio,MONZA E DELLA BRIANZA,Lombardia,Monumento ai Caduti,Monumento,2016,3989751995,9.2985145,45.5535769
Brugherio,MONZA E DELLA BRIANZA,Lombardia,Monumento alla Pace,Monumento,2016,3975813344,9.3028818,45.5541533
Brugherio,MONZA E DELLA BRIANZA,Lombardia,Monumento caduti della peste,Monumento,2016,3902602027,9.2865275,45.5523232999999
Brugherio,MONZA E DELLA BRIANZA,Lombardia,Colonna votiva,"Monumento commemorativo, sacrario",2016,3430231794,9.30184,45.5503617
Brusson,AOSTA,Valle d'Aosta,Casa del Conte di Challant,Monumento,2014,1767586997,7.7288854,45.7575707
Brusson,AOSTA,Valle d'Aosta,Morts pour la patrie,Monumento,2014,2973959663,7.732921,45.7585397
Brusson,AOSTA,Valle d'Aosta,Toujours plus haut,Monumento,2015,3670548464,7.7455081,45.7399454
Brusson,AOSTA,Valle d'Aosta,Chanoine Joseph Brean,"Monumento commemorativo, sacrario",2015,3670382746,7.7463756,45.7385385999999
Brusson,AOSTA,Valle d'Aosta,Frochet Romano - Brochet Vincenzo - Brochet Gius,"Monumento commemorativo, sacrario",2012,1792877466,7.7899454,45.7403918999999
Brusson,AOSTA,Valle d'Aosta,Joseph Brean,"Monumento commemorativo, sacrario",2014,2973959662,7.7327243,45.7585967999999
Brusson,AOSTA,Valle d'Aosta,Papa Giovanni Paolo II,"Monumento commemorativo, sacrario",2012,1694642597,7.7700154,45.7725079
Brusson,AOSTA,Valle d'Aosta,Targa a ricordo di Tolstoj,"Monumento commemorativo, sacrario",2012,1312922701,7.8032998,45.7545458999999
Buonvicino,COSENZA,Calabria,San Ciriaco,Monumento,2014,3027716601,15.8866809,39.6906188999999
Busachi,ORISTANO,Sardegna,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,3239583147,8.8978828,40.0332513
Bussero,MILANO,Lombardia,Monumento ai Donatori di Sangue,Monumento,2013,2469142227,9.3714183,45.5354080999999
Bussero,MILANO,Lombardia,Monumento in ricordo dei caduti delle Guerre Mon,Monumento,2012,1582578839,9.3727701,45.5373075999999
Bussero,MILANO,Lombardia,Caduti nelle Guerre,"Monumento commemorativo, sacrario",2013,2551400956,9.37044189999999,45.5309692
Busseto,PARMA,Emilia-Romagna,Giuseppe Verdi,Monumento,2015,3738764499,10.0417418,44.9810858
Bussolengo,VERONA,Veneto,Monumento ai Caduti,"Monumento commemorativo, sacrario",2012,600194754,10.8474613,45.4757576
Busto Arsizio,VARESE,Lombardia,11 Settembre,Monumento,2013,2512149117,8.85787979999999,45.6329359
Busto Arsizio,VARESE,Lombardia,Monumento al Liberty,Monumento,2015,3811106682,8.858453,45.6146587
Busto Arsizio,VARESE,Lombardia,Epigrafe a Giuseppe Garibaldi,"Monumento commemorativo, sacrario",2016,4001579863,8.85182,45.6134317
Busto Arsizio,VARESE,Lombardia,Monumento agli Alpini,"Monumento commemorativo, sacrario",2015,3067284203,8.8502013,45.6093886
Busto Arsizio,VARESE,Lombardia,Monumento agli Autieri,"Monumento commemorativo, sacrario",2015,3072596199,8.8514225,45.614209
Busto Arsizio,VARESE,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,1433590347,8.8543004,45.6107536999999
Busto Arsizio,VARESE,Lombardia,Monumento ai Caduti sul Lavoro,"Monumento commemorativo, sacrario",2014,3083604478,8.8542482,45.6129650999999
Busto Arsizio,VARESE,Lombardia,Monumento ai donatori del sangue,"Monumento commemorativo, sacrario",2015,2288050382,8.85117739999999,45.6136275
Busto Arsizio,VARESE,Lombardia,Monumento ai Reduci di Guerra,"Monumento commemorativo, sacrario",2014,3083609220,8.8537332,45.6088597999999
Busto Arsizio,VARESE,Lombardia,Monumento all'Operosité Bustocca,"Monumento commemorativo, sacrario",2013,2288048134,8.8470302,45.6141779
Busto Arsizio,VARESE,Lombardia,Monumento alla Resistenza e Deportazione,"Monumento commemorativo, sacrario",2015,2641290446,8.8543,45.6139352
Butera,CALTANISSETTA,Sicilia,Falconara,Monumento,2015,802302288,14.0479524999999,37.1095029999999
Buti,PISA,Toscana,Monumento Caduti della Guerra Mondiale,"Monumento commemorativo, sacrario",2012,1690649393,10.5925873999999,43.7459291999999
Buttigliera Alta,TORINO,Piemonte,Sant'Antonio di Ranverso,Monumento,2011,1473186303,7.4492259,45.0810202999999
Buttrio,UDINE,Friuli-Venezia Giulia,La Piramide,Monumento,2014,2844325312,13.3376611,46.0118867999999
Cadelbosco di Sopra,REGGIO EMILIA,Emilia-Romagna,Tomba del Partigiano,"Monumento commemorativo, sacrario",2012,1798616657,10.5722412,44.7667575999999
Cadrezzate,VARESE,Lombardia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,3491344543,8.6429687,45.7978007999999
Cagli,PESARO E URBINO,Marche,Torrione,Monumento,2015,3887709039,12.6468589,43.5450165
Cagliari,CAGLIARI,Sardegna,Locomotiva,Monumento,2013,2309733320,9.10808089999999,39.2160327
Cagliari,CAGLIARI,Sardegna,Porta Cristina,Monumento,2014,314887206,9.1165113,39.2216977
Cagliari,CAGLIARI,Sardegna,Memoriale ai Caduti,"Monumento commemorativo, sacrario",2014,1673376308,9.1204459,39.2149767
Caines,BOLZANO,Trentino-Alto Adige,Gedenkjahr 1809-2009,"Monumento commemorativo, sacrario",2015,3502727046,11.1694726,46.6957328
Caino,BRESCIA,Lombardia,Monumento ai Caduti,Monumento,2015,2129805979,10.3167613,45.6132574
Caino,BRESCIA,Lombardia,Partigiano Giovanni Pirlo,"Monumento commemorativo, sacrario",2015,2590896332,10.3001147,45.6310416999999
Cairo Montenotte,SAVONA,Liguria,Atterraggio Col. Kittinger,"Monumento commemorativo, sacrario",2014,2836630407,8.3940178,44.3917367999999
Cairo Montenotte,SAVONA,Liguria,Cippo Battaglie napoleoniche,"Monumento commemorativo, sacrario",2014,2836290942,8.3969966,44.3951256
Cairo Montenotte,SAVONA,Liguria,Monumento ai caduti della Seconda Guerra mondiale,"Monumento commemorativo, sacrario",2011,1207818662,8.2739584,44.3986213
Cairo Montenotte,SAVONA,Liguria,Monumento ai Caduti Pianlazzo,"Monumento commemorativo, sacrario",2015,3150440245,8.3444355,44.4007580999999
Cairo Montenotte,SAVONA,Liguria,PIAN DELLA BOMBARDA,"Monumento commemorativo, sacrario",2016,3750738190,8.38074469999999,44.3923154
Calalzo di Cadore,BELLUNO,Veneto,Monumento ai Caduti,Monumento,2014,2969897918,12.3804314,46.4470412
Calatafimi,TRAPANI,Sicilia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2590407041,12.8616802,37.9135289
Calcinaia,PISA,Toscana,Resti del vecchio velodromo,Monumento,2015,3474190101,10.5792742,43.6718065
Calderara di Reno,BOLOGNA,Emilia-Romagna,Monumento ai morti per la patria,"Monumento commemorativo, sacrario",2015,3790606544,11.2716747,44.5658908999999
Caldogno,VICENZA,Veneto,Monumento ai caduti di Rettorgole prima e second,"Monumento commemorativo, sacrario",2013,2206342757,11.5228418,45.5915644999999
Calenzano,FIRENZE,Toscana,Fattoria di Travalle,Monumento,2012,1830888145,11.1563943,43.8812748
Calenzano,FIRENZE,Toscana,Monumento ai Caduti,Monumento,2015,3798004491,11.1675374,43.8653430999999
Calice Ligure,SAVONA,Liguria,Madonne della Guardia,Monumento,2014,2820133412,8.2705424,44.2049548
Calice Ligure,SAVONA,Liguria,Chiesa San Rocco,"Monumento commemorativo, sacrario",2014,2820309904,8.3116,44.2164945999999
Calitri,AVELLINO,Campania,Statua dell'Emigrante,Monumento,2011,470512144,15.4309014,40.901712
Calliano,TRENTO,Trentino-Alto Adige,Kaiserschuetzen 1917,Monumento,2013,64776777,11.0951798,45.9368351
Calolziocorte,LECCO,Lombardia,Chiesa di San Michele,Monumento,2012,883552654,9.4403751,45.7957715
Caltagirone,CATANIA,Sicilia,Gualtiero da Caltagirone,Monumento,2013,2351946829,14.5135439,37.2356606999999
Caltagirone,CATANIA,Sicilia,Monumenti ai Caduti,Monumento,2015,2376838722,14.516952,37.2335509999999
Caltagirone,CATANIA,Sicilia,Monumento a Luigi Sturzo,Monumento,2013,2571444179,14.5142045,37.233899
Caltagirone,CATANIA,Sicilia,Tondo Vecchio,Monumento,2013,2351946828,14.5136126999999,37.2349196999999
Caltanissetta,CALTANISSETTA,Sicilia,Monumento al Redentore,Monumento,2012,2003119598,14.0572363,37.5001840999999
Caltanissetta,CALTANISSETTA,Sicilia,Busto di Giuseppe Garibaldi,"Monumento commemorativo, sacrario",2012,2004811562,14.0611748,37.492175
Caltanissetta,CALTANISSETTA,Sicilia,Monumento a Giovanni Paolo II,"Monumento commemorativo, sacrario",2012,2002743557,14.0606328,37.4856944
Caltanissetta,CALTANISSETTA,Sicilia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2012,2002743615,14.0579908,37.4816045999999
Caltanissetta,CALTANISSETTA,Sicilia,Monumento ai Caduti del Mare,"Monumento commemorativo, sacrario",2013,2181436663,14.0509423,37.4898211
Caltanissetta,CALTANISSETTA,Sicilia,Statua di Umberto I,"Monumento commemorativo, sacrario",2012,2002877738,14.0624275,37.4914241999999
Caltrano,VICENZA,Veneto,Antico Lavatoio della Contrada de Sora,"Monumento commemorativo, sacrario",2013,2481578869,11.4586232999999,45.7731901
Camairago,LODI,Lombardia,Monumento ai Caduti,Monumento,2015,3609196826,9.7250584,45.2036591999999
Camerino,MACERATA,Marche,La ruspa,Monumento,2014,2648551424,13.1521265,43.1187749999999
Camerino,MACERATA,Marche,Monumento Resistenza Antifascista,"Monumento commemorativo, sacrario",2010,817112856,13.0705413,43.1362634999999
Camerota,SALERNO,Campania,Christo,Monumento,2012,1967471831,15.3578382999999,40.0620114999999
Camino,ALESSANDRIA,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2013,2535299939,8.2684734,45.1578146
Camogli,GENOVA,Liguria,Fido,Monumento,2015,3610387991,9.15820929999999,44.3364965999999
Camogli,GENOVA,Liguria,Monumento a Simone Schiaffino,Monumento,2015,3882439973,9.15483459999999,44.3490259
Campagna,SALERNO,Campania,Ex monastero di San Martino,Monumento,2011,1090175909,15.1115048,40.6540674999999
Campagna,SALERNO,Campania,Le tre croci,"Monumento commemorativo, sacrario",2011,1305097700,15.1225898999999,40.6696577
Campagna,SALERNO,Campania,Madonna del Rosario,"Monumento commemorativo, sacrario",2011,1240732055,15.129364,40.6723860999999
Campagna,SALERNO,Campania,Monumento ai Caduti,"Monumento commemorativo, sacrario",2011,1233692139,15.1068821999999,40.6631185999999
Campagna Lupia,VENEZIA,Veneto,Capitello Madonna del Rosario,"Monumento commemorativo, sacrario",2015,3710798921,12.0992204999999,45.3524145
Campagna Lupia,VENEZIA,Veneto,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,2423330815,12.0956397,45.3546752999999
Campagna Lupia,VENEZIA,Veneto,Monumento ai partigiani,"Monumento commemorativo, sacrario",2015,3710800601,12.098912,45.3525201
Campagnano di Roma,ROMA,Lazio,Porta Romana,Monumento,2015,3319017594,12.3810569,42.1389494
Campiglia Marittima,LIVORNO,Toscana,Rocca di San Silvestro,Monumento,2013,2284288634,10.6032975,43.0861268
Campo nell'Elba,LIVORNO,Toscana,Caprili,Monumento,2010,772790916,10.1769099999999,42.7586677999999
Campobasso,CAMPOBASSO,Molise,Giuseppe Altobello,"Monumento commemorativo, sacrario",2015,3424884959,14.6825135,41.5533805999999
Campodolcino,SONDRIO,Lombardia,Nostra Signora d?Europa,Monumento,2012,1764528944,9.36227139999999,46.4177492999999
Campogalliano,MODENA,Emilia-Romagna,Monumento alla Resistenza,Monumento,2012,1999937804,10.8443668,44.691934
Campomorone,GENOVA,Liguria,Lapide partigiana,"Monumento commemorativo, sacrario",2015,3916064542,8.8327013,44.5445713
Campomorone,GENOVA,Liguria,Sacrario dei martiri di Passo Mezzano,"Monumento commemorativo, sacrario",2013,1239114591,8.8358953,44.5520013
Campomorone,GENOVA,Liguria,Targa alla visita di Pio VII,"Monumento commemorativo, sacrario",2016,3932263953,8.892657,44.5066039
Camporosso,IMPERIA,Liguria,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,3419858025,7.6277417,43.8150059999999
Canazei,TRENTO,Trentino-Alto Adige,Fausto Coppi,"Monumento commemorativo, sacrario",2012,796380013,11.8114126,46.4881372999999
Candela,FOGGIA,Puglia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2010,699013408,15.5155873999999,41.1373780999999
Candia Canavese,TORINO,Piemonte,Monumento ai Caduti,Monumento,2010,1003697596,7.8852216,45.3275342
Canino,VITERBO,Lazio,Fontana dodecagonale del Vignola,Monumento,2013,1132180555,11.7496627999999,42.4659616
Cannara,PERUGIA,Umbria,Predica agli Uccelli,"Monumento commemorativo, sacrario",2016,1626000934,12.5820562,42.9785261
Cannero Riviera,VERBANIA,Piemonte,Torchio Secolare,Monumento,2011,1431210297,8.6697168,46.0229775999999
Cannole,LECCE,Puglia,Menhir Montevergine,Monumento,2015,3621639640,18.395533,40.1417708999999
Cannole,LECCE,Puglia,Menhir Santu Lasi,Monumento,2015,3621635248,18.3895206,40.1529681
Canosa di Puglia,BARLETTA ANDRIA TRANI,Puglia,M. R. Imbriani,Monumento,2016,3999453402,16.0663565999999,41.2217452
Canosa di Puglia,BARLETTA ANDRIA TRANI,Puglia,Padre Pio da Pietrelcina,Monumento,2016,4009771541,16.060922,41.223875
Canosa di Puglia,BARLETTA ANDRIA TRANI,Puglia,Sante Missioni dei P. P. Cappuccini di Puglia 19,Monumento,2016,4016837359,16.0684037999999,41.2287472
Canosa di Puglia,BARLETTA ANDRIA TRANI,Puglia,Ti saluto o croce unica speranza nostra,Monumento,2016,4016837360,16.0672885,41.2207955
Canosio,CUNEO,Piemonte,Lapide degli Alpini,"Monumento commemorativo, sacrario",2014,1829082400,7.0501857,44.4046256
Cantalupo Ligure,ALESSANDRIA,Piemonte,Monumento a Fiodor Poletaev,Monumento,2010,727719532,9.0477598,44.7143051999999
Cantalupo Ligure,ALESSANDRIA,Piemonte,Stele ai caduti,Monumento,2014,3100166044,9.032182,44.7280591999999
Cantalupo Ligure,ALESSANDRIA,Piemonte,Ai partigiani caduti,"Monumento commemorativo, sacrario",2014,3100166043,9.0287741,44.7253619999999
Cantiano,PESARO E URBINO,Marche,Palazzo Comunale,Monumento,2012,1944932019,12.6282761,43.4723929999999
Capaccio,SALERNO,Campania,Torre dell'orologio,Monumento,2012,1947141962,15.0811002999999,40.4220528999999
Capannori,LUCCA,Toscana,Acquedotto Nottolini,Monumento,2015,3814055277,10.5149758,43.8210400999999
Capannori,LUCCA,Toscana,Monumento ai Caduti,Monumento,2013,2525334212,10.5563006,43.8948839
Capannori,LUCCA,Toscana,alpini,"Monumento commemorativo, sacrario",2015,3741231053,10.5774674,43.7680379
Capannori,LUCCA,Toscana,Immaginetta o Edicola con vista panoramica,"Monumento commemorativo, sacrario",2011,1364613633,10.577056,43.7844462999999
Capoterra,CAGLIARI,Sardegna,Shangrilé,"Monumento commemorativo, sacrario",2012,1600327041,8.9828761,39.1338178999999
Caprile,BIELLA,Piemonte,Monumento ai Caduti Partigiani,"Monumento commemorativo, sacrario",2014,2867196753,8.1917586,45.7109470999999
Carbonera,TREVISO,Veneto,Capitello,Monumento,2014,2347980274,12.2905921,45.7220598999999
Carbonera,TREVISO,Veneto,Villa Maria,Monumento,2011,1424169440,12.2929730999999,45.6951943999999
Carbonia,CARBONIA IGLESIAS,Sardegna,Monumento al Minatore,Monumento,2012,1678056636,8.5255238,39.1652454999999
Carema,TORINO,Piemonte,A Ricordo dei Caduti Di Guerra 1940-1945,"Monumento commemorativo, sacrario",2015,1632928491,7.8122911,45.584245
Carignano,TORINO,Piemonte,Torre Civica,Monumento,2016,3995379180,7.6766146,44.905455
Carignano,TORINO,Piemonte,Monumento dei Caduti,"Monumento commemorativo, sacrario",2012,1839088231,7.6748793,44.9071894
Carisolo,TRENTO,Trentino-Alto Adige,Epitaffio,"Monumento commemorativo, sacrario",2014,2647352189,10.7338641999999,46.2185570999999
Carlantino,FOGGIA,Puglia,Monumento ai Caduti,Monumento,2011,1276784936,14.9760051,41.5930164999999
Carlino,UDINE,Friuli-Venezia Giulia,Monumento ai Caduti,Monumento,2014,2639387272,13.1881849,45.8029334
Carpi,MODENA,Emilia-Romagna,ex campo di concentramento di Fossoli,"Monumento commemorativo, sacrario",2008,272790772,10.9020759999999,44.8280137
Carpignano Salentino,LECCE,Puglia,Dolmen Chianca Santo Stefano,Monumento,2015,3512822506,18.3450093999999,40.2064571
Carpignano Salentino,LECCE,Puglia,Menhir Grassi,Monumento,2015,3512825067,18.3327096999999,40.2020215
Carpignano Salentino,LECCE,Puglia,Menhir presso il Casale di Stigliano,Monumento,2015,3512824188,18.3781825999999,40.1883051
Carpignano Salentino,LECCE,Puglia,Menhir Staurotomea o Croce Grande,Monumento,2015,3512820404,18.3495136999999,40.2040316
Carpignano Salentino,LECCE,Puglia,Palumbaru,Monumento,2011,1480659088,18.3427152,40.2013182999999
Carpignano Salentino,LECCE,Puglia,Monumento ai Caduti in guerra,"Monumento commemorativo, sacrario",2011,1480664756,18.3390765,40.1956471
Carpineti,REGGIO EMILIA,Emilia-Romagna,Croce,"Monumento commemorativo, sacrario",2015,3400293563,10.4827754,44.4357602999999
Carpineto Romano,ROMA,Lazio,Croce di Capreo,Monumento,2010,828432950,13.0694204,41.5865136999999
Carrara,MASSA-CARRARA,Toscana,Monumento dell'eccidio di Bergiola,Monumento,2013,2130933884,10.1246554999999,44.0670246
Carrara,MASSA-CARRARA,Toscana,Scultura Dunchi,Monumento,2014,2623907432,10.0628603,44.0550604
Carrara,MASSA-CARRARA,Toscana,Alberto Meschi,"Monumento commemorativo, sacrario",2011,1136375648,10.1008689,44.0790183
Carrara,MASSA-CARRARA,Toscana,Cippo della scuola di Bergiola Foscalina,"Monumento commemorativo, sacrario",2013,2130931007,10.1219625,44.0659510999999
Carrara,MASSA-CARRARA,Toscana,La donna nella Resistenza,"Monumento commemorativo, sacrario",2011,1136380155,10.0966693,44.0768952999999
Carrara,MASSA-CARRARA,Toscana,Lapide a Fabbiani,"Monumento commemorativo, sacrario",2013,2130932166,10.1247197999999,44.0665351
Carrara,MASSA-CARRARA,Toscana,Monumento a Giudice,"Monumento commemorativo, sacrario",2013,2130929837,10.1221181,44.065955
Carre',VICENZA,Veneto,Monumento all'Arma dei Carabinieri,Monumento,2015,3442901156,11.4586261,45.7445491
Carugo,COMO,Lombardia,Monumento ai Caduti,Monumento,2015,3879734312,9.19485809999999,45.7096792999999
Casal Cermelli,ALESSANDRIA,Piemonte,Cappelletta in onore della Madonna di Fatima,"Monumento commemorativo, sacrario",2012,1864244157,8.6350365,44.8107151
Casale Monferrato,ALESSANDRIA,Piemonte,Croce ai caduti della prima guerra mondiale,Monumento,2012,1654574197,8.4632761,45.1314514
Casale Monferrato,ALESSANDRIA,Piemonte,Monumento a Giovanni Lanza,Monumento,2010,946533625,8.4571565,45.1337375
Casale Monferrato,ALESSANDRIA,Piemonte,Monumento a Urbano Rattazzi,Monumento,2011,951519433,8.4519689,45.1364434999999
Casale Monferrato,ALESSANDRIA,Piemonte,Monumento ai Caduti,Monumento,2010,945101759,8.4583625,45.1330381
Casale Monferrato,ALESSANDRIA,Piemonte,Monumento ai caduti della seconda guerra mondial,Monumento,2012,1654574200,8.4628975,45.1314939
Casale Monferrato,ALESSANDRIA,Piemonte,Busto di Ottavio Marchino,"Monumento commemorativo, sacrario",2010,987470199,8.4482563,45.1302675
Casale Monferrato,ALESSANDRIA,Piemonte,Lapide a Giovanni Lanza,"Monumento commemorativo, sacrario",2014,1741725646,8.4534506,45.1377945999999
Casale Monferrato,ALESSANDRIA,Piemonte,Lapide a Giuseppe Pavia,"Monumento commemorativo, sacrario",2012,1714618570,8.4452186,45.1361885
Casale Monferrato,ALESSANDRIA,Piemonte,Lapide Natal Palli,"Monumento commemorativo, sacrario",2012,1246879437,8.4497105,45.1334895
Casale Monferrato,ALESSANDRIA,Piemonte,Monumento agli Aviatori Monferrini,"Monumento commemorativo, sacrario",2010,951785682,8.4479412,45.1227385999999
Casale sul Sile,TREVISO,Veneto,Monumento dei Caduti,"Monumento commemorativo, sacrario",2014,1447872778,12.3254907,45.5977504
Casalino,NOVARA,Piemonte,Croci dei Sette Martiri di Casalino,"Monumento commemorativo, sacrario",2015,3724786262,8.5346705,45.3766502
Casalino,NOVARA,Piemonte,Monumento alla Resistenza,"Monumento commemorativo, sacrario",2015,3724786271,8.5343888,45.3765353
Casalino,NOVARA,Piemonte,Monumento del 150é dell'Unité d'Italia,"Monumento commemorativo, sacrario",2015,3724800829,8.50363789999999,45.3889381999999
Casalmaiocco,LODI,Lombardia,Monumento ai Caduti,Monumento,2015,3574165941,9.373366,45.3537041
Casalvolone,NOVARA,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2015,1783560932,8.4624919,45.3995096
Casanova Lerrone,SAVONA,Liguria,Stele di Rainer Kriester,Monumento,2013,2326541879,8.042411,44.0401695999999
Casarano,LECCE,Puglia,caduti in guerra,Monumento,2014,3252507265,18.1631615999999,40.0075432
Casarano,LECCE,Puglia,Daniela e Paola Bastianutti,Monumento,2013,2364181704,18.1623319,40.003599
Casarano,LECCE,Puglia,In hoc signo vinces,"Monumento commemorativo, sacrario",2011,1352485618,18.1585059999999,40.0136477
Casarano,LECCE,Puglia,In hoc signo vinces,"Monumento commemorativo, sacrario",2011,1352485625,18.1678628999999,40.0119837
Casarano,LECCE,Puglia,In hoc signo vinces,"Monumento commemorativo, sacrario",2013,1352485624,18.1644356,40.0116562999999
Casarano,LECCE,Puglia,Papa Giovanni Paolo IIé,"Monumento commemorativo, sacrario",2014,1353015286,18.1615787,40.0169792
Casarano,LECCE,Puglia,San Francesco d'Assisi,"Monumento commemorativo, sacrario",2013,2202403035,18.1649281999999,40.0058164
Casarano,LECCE,Puglia,San Francesco d'Assisi,"Monumento commemorativo, sacrario",2013,1351813302,18.1643428,40.0065242
Casarano,LECCE,Puglia,vittime civili di guerra,"Monumento commemorativo, sacrario",2013,1346788076,18.1556284,40.0135586
Casarsa della Delizia,PORDENONE,Friuli-Venezia Giulia,Monumento ai Caduti,"Monumento commemorativo, sacrario",2012,1921984393,12.8423794,45.9574015
Casatenovo,LECCO,Lombardia,Graziella Fomagalli,Monumento,2014,2950263734,9.3120663,45.6985798999999
Casciago,VARESE,Lombardia,Casa di Stefano Stampa,"Monumento commemorativo, sacrario",2009,357199471,8.763388,45.8247129
CASCIANA TERME LARI,PISA,Toscana,Torre Medioevale,Monumento,2014,3081497620,10.5941724,43.5313635999999
Cascina,PISA,Toscana,Monumento ai Caduti,Monumento,2013,2430753933,10.5476712999999,43.6760145
Casei Gerola,PAVIA,Lombardia,45é Parallelo -,Monumento,2015,3794440332,8.9266472,45.0063845
Casei Gerola,PAVIA,Lombardia,Cappella del Bottigella,Monumento,2015,3794478009,8.92673289999999,45.006163
Casei Gerola,PAVIA,Lombardia,L'aratro - Pietro Bisio,Monumento,2015,3794440279,8.9263413,45.0064184
Casei Gerola,PAVIA,Lombardia,La filatrice - Pietro Bisio,Monumento,2015,3794451524,8.92799089999999,45.0058299
Casei Gerola,PAVIA,Lombardia,Monumento ai caduti di tutte le guerre,Monumento,2015,3794478010,8.9267758,45.0063298999999
Casei Gerola,PAVIA,Lombardia,The ground crying help - Gianni Bailo,Monumento,2015,3794439087,8.92650489999999,45.0063968999999
Caserta,CASERTA,Campania,Monumento a Luigi Vanvitelli,Monumento,2013,2116350664,14.3322042,41.0753437999999
Casina,REGGIO EMILIA,Emilia-Romagna,Casa Cantoniera,Monumento,2015,3834753088,10.4990387999999,44.5099615999999
Casina,REGGIO EMILIA,Emilia-Romagna,Cippo di Vercallo,"Monumento commemorativo, sacrario",2011,1109757264,10.4576671,44.5477504999999
Casola Valsenio,RAVENNA,Emilia-Romagna,Monumento alla resistenza,Monumento,2013,2543958262,11.5796926,44.2182048
Casorate Primo,PAVIA,Lombardia,cimitero,"Monumento commemorativo, sacrario",2012,1912824173,9.01996879999999,45.317849
Casorzo,ASTI,Piemonte,Monumento ai Caduti,"Monumento commemorativo, sacrario",2014,3152507664,8.3395313,45.0226393
Cassano all'Ionio,COSENZA,Calabria,Giuseppe Troccoli (busto marmoreo),Monumento,2014,3013692690,16.3351384,39.7800803
Cassano d'Adda,MILANO,Lombardia,Statua del Sacro Cuore,"Monumento commemorativo, sacrario",2012,1952497075,9.5347773,45.5288901999999
Cassano delle Murge,BARI,Puglia,Monumento a ...,Monumento,2014,2642336800,16.7714447,40.8919155
Cassano Magnago,VARESE,Lombardia,Statua di Padre Pio,"Monumento commemorativo, sacrario",2015,2361617567,8.8264654,45.6759267999999
Cassaro,SIRACUSA,Sicilia,Guglia di Cassaro (obelisco),Monumento,2014,3077643039,14.9466901,37.104472
Cassaro,SIRACUSA,Sicilia,Monumento ai Caduti,Monumento,2014,3077643035,14.9474383,37.1060646999999
Cassina de' Pecchi,MILANO,Lombardia,Monumento ai Radioamatori,Monumento,2013,2301428873,9.36752929999999,45.5216303999999
Cassina Valsassina,LECCO,Lombardia,Percorso delle brigate Garibaldine Lombardia,"Monumento commemorativo, sacrario",2011,1376310947,9.4940291,45.9021850999999
Cassinetta di Lugagnano,MILANO,Lombardia,Statua di San Carlo Borromeo,Monumento,2013,2495039454,8.909765,45.4259665
Cassino,FROSINONE,Lazio,Croce Polacca,"Monumento commemorativo, sacrario",2012,1736662599,13.7905484,41.4996397
Cassino,FROSINONE,Lazio,Monumento Ai caduti Seconda Guerra Mondiale,"Monumento commemorativo, sacrario",2013,1751695159,13.8347207999999,41.4435829
Cassino,FROSINONE,Lazio,Monumento Cauduti Polacchi,"Monumento commemorativo, sacrario",2012,1736656212,13.8024654,41.4973681999999
Cassola,VICENZA,Veneto,Villa Cé Baroncello,Monumento,2011,1492747668,11.7545571,45.7595154999999
Castagneto Carducci,LIVORNO,Toscana,Obelisco del poeta Giosué Carducci,"Monumento commemorativo, sacrario",2011,609211542,10.5596723,43.2259948
